,Outlier,Max,Ctx,Max_Ctx
88,82112,37191,"[1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 1.
 0.]","  Employers: [0, 1, 2, 3, 4, 6, 7, 8]
  Job Titles: [0, 1, 3, 4, 5, 7]
  Calendar Years: [0, 1, 2, 3, 4, 6, 7]
"
198,28905,13257,"[0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 1.
 0.]","  Employers: [0, 3, 4, 5, 6, 8]
  Job Titles: [1, 4, 5, 6]
  Calendar Years: [0, 2, 3, 4, 5, 6, 7]
"
128,11630,41042,"[1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1. 1. 1.
 1.]","  Employers: [0, 1, 2, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
9,71807,19928,"[1. 1. 1. 0. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 1. 1. 0. 0. 1.
 1.]","  Employers: [0, 1, 4, 5, 6]
  Job Titles: [0, 1, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 3, 4, 6, 7]
"
162,33231,11983,"[1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0.
 1.]","  Employers: [0, 1, 3, 4, 5, 7]
  Job Titles: [1, 2, 4, 5, 6]
  Calendar Years: [0, 3, 4, 5, 6, 7]
"
59,47918,12530,"[0. 1. 1. 0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1.
 1.]","  Employers: [0, 1, 3, 4, 5, 6, 7, 8]
  Job Titles: [1, 2, 3, 4, 5, 6]
  Calendar Years: [1, 4, 5, 6, 7]
"
94,28768,37835,"[1. 0. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0.
 1.]","  Employers: [0, 1, 3, 4, 5, 6, 7]
  Job Titles: [0, 1, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
123,33257,17929,"[1. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1.
 1.]","  Employers: [0, 1, 3, 4, 5, 6]
  Job Titles: [1, 2, 3, 4, 5, 6]
  Calendar Years: [0, 2, 4, 5, 6, 7]
"
48,34396,39945,"[0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 1. 1. 0.
 1.]","  Employers: [0, 1, 2, 3, 4, 5, 6, 7, 8]
  Job Titles: [0, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 2, 3, 4, 5, 6, 7]
"
12,87892,26952,"[0. 1. 0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1.
 1.]","  Employers: [0, 1, 2, 3, 7, 8]
  Job Titles: [0, 1, 2, 3, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 7]
"
105,28768,37835,"[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1.]","  Employers: [0, 1, 3, 4, 5, 6, 7]
  Job Titles: [0, 1, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
145,100202,32062,"[0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0.
 1.]","  Employers: [0, 1, 2, 3, 4, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 5, 6]
  Calendar Years: [1, 2, 3, 4, 5, 7]
"
171,11630,41042,"[1. 0. 1. 0. 1. 0. 0. 1. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1. 0.
 0.]","  Employers: [0, 1, 2, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
172,12667,43995,"[0. 1. 0. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 1. 0. 1. 1. 1. 0. 0. 1. 0.
 1.]","  Employers: [0, 1, 2, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
199,30106,31281,"[0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0.
 0.]","  Employers: [0, 1, 3, 4, 5, 7]
  Job Titles: [0, 1, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
90,16162,11811,"[1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 1. 1. 1. 1. 0. 1.
 0.]","  Employers: [0, 1, 3, 4, 5, 6]
  Job Titles: [0, 2, 4, 5, 6]
  Calendar Years: [0, 1, 4, 6, 7]
"
1,12906,32250,"[0. 0. 1. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 0.
 0.]","  Employers: [0, 1, 3, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 3, 4, 5]
"
111,45714,18805,"[1. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1.
 1.]","  Employers: [0, 1, 3, 5, 6, 7, 8]
  Job Titles: [1, 2, 3, 4, 6]
  Calendar Years: [1, 2, 3, 4, 5, 6, 7]
"
42,16267,24404,"[0. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 1. 0. 0. 1. 1.
 0.]","  Employers: [0, 1, 3, 4, 5, 6, 7, 8]
  Job Titles: [1, 2, 3, 4, 5, 6]
  Calendar Years: [0, 1, 2, 4, 5, 6, 7]
"
45,45887,10895,"[0. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1.
 0.]","  Employers: [0, 1, 5, 6, 7, 8]
  Job Titles: [0, 2, 4, 5, 6, 7]
  Calendar Years: [1, 2]
"
161,12906,32250,"[0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 1. 0.
 0.]","  Employers: [0, 1, 3, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 3, 4, 5]
"
187,129198,11124,"[0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1.
 1.]","  Employers: [0, 1, 3, 4, 5, 6, 8]
  Job Titles: [1, 2, 3, 4, 5, 6]
  Calendar Years: [3, 4, 5, 6, 7]
"
163,33231,11983,"[0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0.
 1.]","  Employers: [0, 1, 3, 4, 5, 7]
  Job Titles: [1, 2, 4, 5, 6]
  Calendar Years: [0, 3, 4, 5, 6, 7]
"
43,12129,51011,"[1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1.
 1.]","  Employers: [0, 1, 2, 3, 4, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
170,34396,39945,"[0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.
 1.]","  Employers: [0, 1, 2, 3, 4, 5, 6, 7, 8]
  Job Titles: [0, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 2, 3, 4, 5, 6, 7]
"
116,34617,39188,"[0. 1. 1. 1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0.
 1.]","  Employers: [0, 1, 3, 4, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 5, 6]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
35,147054,20383,"[0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0.
 1.]","  Employers: [0, 1, 2, 3, 4, 5, 7]
  Job Titles: [0, 1, 2, 3, 4, 5, 6]
  Calendar Years: [2, 3, 4, 5, 6, 7]
"
51,68039,20221,"[0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 1.
 0.]","  Employers: [0, 2, 3, 4, 5, 6, 7, 8]
  Job Titles: [1, 3, 4, 5, 6]
  Calendar Years: [1, 2, 3, 4, 5, 6, 7]
"
78,28844,20999,"[1. 1. 0. 1. 0. 1. 1. 1. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1.
 0.]","  Employers: [0, 1, 3, 4, 5, 6]
  Job Titles: [0, 1, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 3, 5, 6]
"
195,11630,41042,"[1. 0. 0. 1. 1. 0. 1. 0. 1. 1. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 0.
 0.]","  Employers: [0, 1, 2, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
29,49414,23804,"[0. 1. 0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 0. 1.
 1.]","  Employers: [0, 1, 2, 3, 4, 5, 6, 7, 8]
  Job Titles: [0, 2, 4, 5, 7]
  Calendar Years: [0, 1, 2, 3, 6]
"
127,14942,24455,"[0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1.
 1.]","  Employers: [0, 1, 3, 4, 5, 7]
  Job Titles: [0, 1, 2, 3, 5, 6]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6]
"
183,33239,13418,"[0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 0. 1.
 0.]","  Employers: [0, 1, 2, 3, 4, 7, 8]
  Job Titles: [1, 2, 3, 4, 5, 6]
  Calendar Years: [0, 3, 4, 6, 7]
"
144,95785,51011,"[0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1.
 1.]","  Employers: [0, 1, 2, 3, 4, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
196,47623,29286,"[0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 0. 1.
 0.]","  Employers: [0, 1, 2, 3, 4, 5]
  Job Titles: [0, 1, 2, 3, 4, 5, 6]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
7,33231,11983,"[1. 0. 1. 1. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0.
 0.]","  Employers: [0, 1, 3, 4, 5, 7]
  Job Titles: [1, 2, 4, 5, 6]
  Calendar Years: [0, 3, 4, 5, 6, 7]
"
194,11630,41042,"[1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1.
 0.]","  Employers: [0, 1, 2, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
84,29015,32740,"[0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0.
 1.]","  Employers: [0, 1, 2, 3, 4, 5, 6]
  Job Titles: [0, 1, 2, 3, 4, 5, 6]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
152,99875,20227,"[0. 0. 0. 1. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0.
 0.]","  Employers: [0, 1, 3, 5, 6, 7]
  Job Titles: [0, 1, 2, 3, 6]
  Calendar Years: [0, 1, 2, 4, 5, 6, 7]
"
149,81331,30414,"[1. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 1.
 1.]","  Employers: [0, 1, 2, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 6, 7]
  Calendar Years: [1, 2, 4, 5, 6, 7]
"
20,11630,41042,"[1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 1. 1. 1. 1. 0. 1. 0. 0.
 0.]","  Employers: [0, 1, 2, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
19,45807,24002,"[0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 0. 0. 1. 1. 0. 0. 1. 0.
 1.]","  Employers: [0, 1, 2, 5, 6, 7, 8]
  Job Titles: [0, 2, 4, 6, 7]
  Calendar Years: [0, 1, 2, 5, 6, 7]
"
140,11945,20562,"[0. 1. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0.
 1.]","  Employers: [0, 1, 2, 6, 7, 8]
  Job Titles: [0, 1, 2, 4, 7]
  Calendar Years: [0, 1, 3, 5, 6]
"
50,85550,24455,"[0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0.
 0.]","  Employers: [0, 1, 3, 4, 5, 7]
  Job Titles: [0, 1, 2, 3, 5, 6]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6]
"
61,12228,13053,"[0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0.
 0.]","  Employers: [0, 3, 4, 5, 6, 7]
  Job Titles: [1, 4, 5, 6]
  Calendar Years: [0, 2, 3, 4, 5, 6, 7]
"
96,30565,48407,"[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1.
 1.]","  Employers: [0, 1, 2, 4, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
76,33873,12856,"[0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0.
 0.]","  Employers: [0, 1, 3, 5, 6, 8]
  Job Titles: [0, 1, 2, 4, 5, 7]
  Calendar Years: [0, 1, 3]
"
92,11630,41042,"[1. 0. 1. 1. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.
 1.]","  Employers: [0, 1, 2, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
120,45814,34647,"[0. 1. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0.
 0.]","  Employers: [0, 1, 3, 4, 5, 6, 8]
  Job Titles: [0, 2, 3, 4, 5, 6]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
112,13997,23199,"[0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1.
 1.]","  Employers: [0, 2, 3, 4, 5, 6]
  Job Titles: [1, 3, 4, 5, 6]
  Calendar Years: [0, 1, 2, 3, 4, 6, 7]
"
65,81866,11401,"[1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 1.
 1.]","  Employers: [0, 1, 2, 3, 5, 6, 7, 8]
  Job Titles: [0, 2, 3, 5, 7]
  Calendar Years: [2, 4]
"
158,146741,17082,"[0. 1. 1. 0. 1. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.
 1.]","  Employers: [0, 1, 2, 3, 4, 5, 6, 7]
  Job Titles: [0, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 4, 5, 6]
"
182,83760,28156,"[0. 1. 1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 1.
 1.]","  Employers: [0, 1, 2, 4, 5, 6, 7, 8]
  Job Titles: [0, 2, 4, 5, 7]
  Calendar Years: [0, 1, 2, 3, 4, 6]
"
109,12677,7869,"[0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0.
 0.]","  Employers: [0, 2, 3, 5, 6, 7, 8]
  Job Titles: [5, 7]
  Calendar Years: [0, 1, 2, 3]
"
173,11849,21252,"[0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1. 1. 1. 0. 1. 1. 0. 1. 0.
 0.]","  Employers: [0, 1, 3, 4, 5, 7]
  Job Titles: [1, 2, 3, 4, 5, 6]
  Calendar Years: [0, 1, 3, 4, 5, 6, 7]
"
190,74325,35321,"[0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0.
 1.]","  Employers: [0, 1, 3, 4, 5, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 5, 6, 7]
  Calendar Years: [0, 1, 2, 3, 4, 6]
"
193,50332,14345,"[0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0.
 1.]","  Employers: [0, 2, 3, 6, 7, 8]
  Job Titles: [1, 4, 5, 6, 7]
  Calendar Years: [1, 2, 3, 4]
"
58,11630,41042,"[1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0.
 1.]","  Employers: [0, 1, 2, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
133,16854,37417,"[0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 1. 1. 0. 1. 0. 0. 1. 1. 1. 1.
 0.]","  Employers: [0, 1, 3, 4, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 5, 6]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6]
"
2,48764,15376,"[0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 0. 1. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 1.
 1.]","  Employers: [0, 1, 2, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 4, 5, 7]
  Calendar Years: [1, 2, 5]
"
57,47101,23475,"[1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 1. 0.
 1.]","  Employers: [0, 1, 2, 5, 6, 7, 8]
  Job Titles: [0, 3, 5, 7]
  Calendar Years: [1, 2, 3, 4, 5]
"
153,11630,41042,"[1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1.
 1.]","  Employers: [0, 1, 2, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 7]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
24,130239,39188,"[1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1.
 1.]","  Employers: [0, 1, 3, 4, 5, 6, 7, 8]
  Job Titles: [0, 1, 2, 3, 4, 5, 6]
  Calendar Years: [0, 1, 2, 3, 4, 5, 6, 7]
"
34,71645,18751,"[0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 0.
 1.]","  Employers: [0, 1, 3, 4, 5, 6, 7]
  Job Titles: [0, 1, 2, 3, 4, 5, 6]
  Calendar Years: [1, 3, 4, 5, 6]
"
